search_date,departure_date,origin,destination,airline,departure_time,arrival_time,duration,stops,stopover_airports,price
2026-03-04,2026-03-05,LHR,CKG,Emirates,2026-03-05 13:40,2026-03-07 00:25,26h 45m,2,"DXB,PVG",1981.0
2026-03-04,2026-03-05,LHR,CKG,China Southern,2026-03-05 21:30,2026-03-07 16:20,34h 50m,1,PKX,2000.0
2026-03-04,2026-03-05,LHR,CKG,China Southern,2026-03-05 21:30,2026-03-06 21:00,15h 30m,1,PKX,2041.0
2026-03-04,2026-03-05,LHR,CKG,China Southern,2026-03-05 22:00,2026-03-07 00:45,18h 45m,1,CAN,2721.0
2026-03-04,2026-03-05,LHR,CKG,Lufthansa City Airlines,2026-03-05 13:50,2026-03-06 18:00,20h 10m,2,"MUC,PEK",3058.0
2026-03-04,2026-03-05,LHR,CKG,Brussels Airlines,2026-03-05 06:50,2026-03-06 04:40,13h 50m,1,BRU,3222.0
2026-03-04,2026-03-05,LHR,CKG,British Airways,2026-03-05 12:15,2026-03-07 00:25,28h 10m,1,PVG,4127.0
2026-03-04,2026-03-05,LHR,CKG,British Airways,2026-03-05 15:05,2026-03-06 18:25,19h 20m,2,"AMS,PKX",4407.0
2026-03-04,2026-03-05,LHR,CKG,Malaysia Airlines,2026-03-05 21:25,2026-03-07 18:10,36h 45m,1,KUL,10427.0
2026-03-04,2026-03-05,LHR,CKG,Austrian,2026-03-05 09:05,2026-03-06 10:40,17h 35m,2,"VIE,PEK",16487.0
2026-03-04,2026-03-12,LHR,CKG,Qatar Airways,2026-03-12 08:25,2026-03-13 14:35,22h 10m,1,DOH,617.0
2026-03-04,2026-03-12,LHR,CKG,Qatar Airways,2026-03-12 15:30,2026-03-13 14:35,15h 5m,1,DOH,738.0
2026-03-04,2026-03-12,LHR,CKG,Etihad,2026-03-12 08:50,2026-03-13 18:40,25h 50m,2,"AUH,PKX",749.0
2026-03-04,2026-03-12,LHR,CKG,British Airways,2026-03-12 12:15,2026-03-14 00:25,28h 10m,1,PVG,822.0
2026-03-04,2026-03-12,LHR,CKG,Cathay Pacific,2026-03-12 11:00,2026-03-13 16:05,21h 5m,1,HKG,854.0
2026-03-04,2026-03-12,LHR,CKG,Cathay Pacific,2026-03-12 16:50,2026-03-13 18:05,17h 15m,1,HKG,854.0
2026-03-04,2026-03-12,LHR,CKG,Cathay Pacific,2026-03-12 17:50,2026-03-13 19:35,17h 45m,1,HKG,854.0
2026-03-04,2026-03-12,LHR,CKG,British Airways,2026-03-12 13:50,2026-03-13 14:35,16h 45m,1,DOH,869.0
2026-03-04,2026-03-12,LHR,CKG,Cathay Pacific,2026-03-12 22:05,2026-03-14 16:05,34h 0m,1,HKG,1071.0
2026-03-04,2026-03-12,LHR,CKG,Lufthansa City Airlines,2026-03-12 13:50,2026-03-13 18:00,20h 10m,2,"MUC,PEK",1099.0
2026-03-04,2026-03-12,LHR,CKG,China Southern,2026-03-12 21:30,2026-03-13 21:00,15h 30m,1,PKX,1733.0
2026-03-04,2026-03-19,LHR,CKG,Qatar Airways,2026-03-19 08:25,2026-03-20 14:35,22h 10m,1,DOH,617.0
2026-03-04,2026-03-19,LHR,CKG,Qatar Airways,2026-03-19 15:30,2026-03-20 14:35,15h 5m,1,DOH,738.0
2026-03-04,2026-03-19,LHR,CKG,Etihad,2026-03-19 08:50,2026-03-20 18:40,25h 50m,2,"AUH,PKX",870.0
2026-03-04,2026-03-19,LHR,CKG,Lufthansa City Airlines,2026-03-19 13:50,2026-03-20 18:00,20h 10m,2,"MUC,PEK",911.0
2026-03-04,2026-03-19,LHR,CKG,British Airways,2026-03-19 12:15,2026-03-21 00:05,27h 50m,1,PVG,936.0
2026-03-04,2026-03-19,LHR,CKG,British Airways,2026-03-19 13:50,2026-03-20 14:35,16h 45m,1,DOH,1075.0
2026-03-04,2026-03-19,LHR,CKG,EVA Air,2026-03-19 21:20,2026-03-21 16:15,34h 55m,1,BKK,1167.0
2026-03-04,2026-03-19,LHR,CKG,SWISS,2026-03-19 09:00,2026-03-20 16:00,23h 0m,2,"ZRH,PVG",1282.0
2026-03-04,2026-03-19,LHR,CKG,Cathay Pacific,2026-03-19 22:05,2026-03-21 16:05,34h 0m,1,HKG,1418.0
2026-03-04,2026-03-19,LHR,CKG,China Southern,2026-03-19 21:30,2026-03-20 21:00,15h 30m,1,PKX,1453.0
2026-03-04,2026-03-19,LHR,CKG,China Southern,2026-03-19 22:00,2026-03-21 00:45,18h 45m,1,CAN,1453.0
2026-03-04,2026-03-19,LHR,CKG,Brussels Airlines,2026-03-19 06:50,2026-03-20 04:40,13h 50m,1,BRU,2294.0
2026-03-04,2026-03-26,LHR,CKG,Qatar Airways,2026-03-26 15:30,2026-03-27 14:35,15h 5m,1,DOH,1014.0
2026-03-04,2026-03-26,LHR,CKG,British Airways,2026-03-26 13:50,2026-03-27 14:35,16h 45m,1,DOH,1230.0
2026-03-04,2026-03-26,LHR,CKG,SWISS,2026-03-26 09:00,2026-03-27 16:00,23h 0m,2,"ZRH,PVG",1514.0
2026-03-04,2026-03-26,LHR,CKG,China Southern,2026-03-26 21:30,2026-03-28 10:20,28h 50m,1,PKX,1733.0
2026-03-04,2026-03-26,LHR,CKG,Cathay Pacific,2026-03-26 11:00,2026-03-27 16:05,21h 5m,1,HKG,1938.0
2026-03-04,2026-03-26,LHR,CKG,Cathay Pacific,2026-03-26 17:50,2026-03-28 16:05,38h 15m,1,HKG,1938.0
2026-03-04,2026-03-26,LHR,CKG,China Southern,2026-03-26 21:30,2026-03-27 21:00,15h 30m,1,PKX,2041.0
2026-03-04,2026-03-26,LHR,CKG,China Southern,2026-03-26 22:00,2026-03-28 00:45,18h 45m,1,CAN,2041.0
2026-03-04,2026-03-26,LHR,CKG,Cathay Pacific,2026-03-26 16:50,2026-03-27 18:05,17h 15m,1,HKG,2799.0
